"seed","m","method","Range","Smoothness"
748562,5,"VL",2.42987152843244,0.0551285608290567
209710,5,"VL",0.533737209251509,0.108273527739887
640911,5,"VL",0.0815522625329956,0.248221282866328
307809,5,"VL",0.100082229103871,0.226558487245395
981282,5,"VL",0.208882199561838,0.136155265141843
743337,5,"VL",0.180257162111504,0.183520307475329
637493,5,"VL",0.0489908353556816,0.484752519957771
214390,5,"VL",0.221627746054076,0.149778834613035
10137,5,"VL",0.0722925125169891,0.265809235363899
716511,5,"VL",0.0772247362246412,0.267758172185809
350099,5,"VL",0.201884502434842,0.154397549635163
399657,5,"VL",0.108047190113226,0.185022989964654
6680,5,"VL",0.0536729678667447,0.438203826202018
784527,5,"VL",0.0579018527888361,0.612848097701639
650095,5,"VL",0.0848606596538337,0.324893369305524
976480,5,"VL",0.0476015181883722,0.494440268928902
83672,5,"VL",12.9406940828538,0.0686509032719218
174013,5,"VL",0.0550104282233693,0.576321533418305
226190,5,"VL",0.126614235593747,0.409352183581079
84235,5,"VL",0.103390051556444,0.233773701582289
258013,5,"VL",0.0682020363517951,0.394070815427016
159022,5,"VL",0.0685505094595969,0.32298231919092
170951,5,"VL",0.077969222502326,0.391818990348009
793959,5,"VL",0.797223925818619,0.0836419485844826
982148,5,"VL",0.191636168563173,0.245572377279239
232590,5,"VL",0.15667092346607,0.156890431868981
352570,5,"VL",0.0729224239889778,0.358792608486514
444376,5,"VL",0.497887816632029,0.0960373187158395
170998,5,"VL",0.113254112766565,0.234739357422972
145933,5,"VL",0.0380102863564625,0.918713138069161
191345,5,"VL",0.0429142446911089,0.329246819113907
228477,5,"VL",0.157745214628933,0.335484185733086
215981,5,"VL",2.18001744841794e+293,0.000493646424529213
892829,5,"VL",0.127584748922619,0.198318939025226
349407,5,"VL",0.302836280710257,0.160816546373902
708972,5,"VL",0.118778008950684,0.193937883284718
639586,5,"VL",0.164181217869469,0.164044108660925
633628,5,"VL",9.04390221618233,0.0434772361939555
8419,5,"VL",0.0533799122709306,0.515229208556229
170779,5,"VL",0.160498844409796,0.173369148177035
875759,5,"VL",0.273948234257228,0.122226269362499
352756,5,"VL",0.0519917978365212,0.277999137695035
118587,5,"VL",0.104201412694917,0.229049430902568
844320,5,"VL",0.745001087634604,0.0772197520047793
62033,5,"VL",0.0333720703855202,1.22454293169589
28265,5,"VL",0.0883554280728861,0.41078726419767
330725,5,"VL",0.0453536399604254,0.633031991196872
668775,5,"VL",0.269599750154415,0.127754659134825
403202,5,"VL",0.133019911635591,0.138806912006893
73346,5,"VL",0.108405936495691,0.300722687331719
748562,10,"VL",1.63849282933346,0.0461391710936921
209710,10,"VL",0.0958210005781379,0.256509625337373
640911,10,"VL",0.0423195340617122,0.529918325849459
307809,10,"VL",0.0930498730903473,0.220995546434084
981282,10,"VL",0.299308250172683,0.130054520971808
743337,10,"VL",0.111549100047964,0.237949630087861
637493,10,"VL",0.0265481740664166,1.06011874006534
214390,10,"VL",0.0672123016453061,0.341924121880915
10137,10,"VL",0.0507711790099041,0.342888578550641
716511,10,"VL",0.0515358422061879,0.421584524816368
350099,10,"VL",0.0957105855138448,0.249644431192193
399657,10,"VL",0.169140240422493,0.13058385682543
6680,10,"VL",0.0456803494843756,0.518916651036822
784527,10,"VL",0.0689190029334273,0.518558356099662
650095,10,"VL",0.0413732191223588,0.678359016374683
976480,10,"VL",0.0372446893872107,0.701869693246197
83672,10,"VL",0.283152591993309,0.188652077189047
174013,10,"VL",0.0428374785615063,0.893303948448532
226190,10,"VL",0.10236858345626,0.498966445298405
84235,10,"VL",0.071162952887131,0.323862056348785
258013,10,"VL",0.0488279145693251,0.552081006445637
159022,10,"VL",0.0505241279731767,0.475928646128174
170951,10,"VL",0.0346955270325129,0.954688766095688
793959,10,"VL",0.205538001627233,0.139829750093809
982148,10,"VL",0.104261997538272,0.328970426699999
232590,10,"VL",0.0936511451367784,0.212685912036805
352570,10,"VL",0.0335463319318203,0.861704149305594
444376,10,"VL",0.074028016178561,0.271503986850724
170998,10,"VL",0.0651679565903249,0.378989031904728
145933,10,"VL",0.0349062419666888,0.962920198084874
191345,10,"VL",0.0284026435636945,0.590055252805978
228477,10,"VL",0.12480328902816,0.377117731913714
215981,10,"VL",0.0265662980481762,0.940891905511869
892829,10,"VL",0.0830944306728488,0.230640104679077
349407,10,"VL",0.15456254838617,0.216968738233697
708972,10,"VL",0.110044118152054,0.180793981829338
639586,10,"VL",0.0887203746095681,0.237530849307682
633628,10,"VL",0.211894212259756,0.122564214399354
8419,10,"VL",0.0626565013580429,0.443396049482858
170779,10,"VL",0.0481598328921388,0.4952907283893
875759,10,"VL",0.11172345590838,0.210567394823465
352756,10,"VL",0.0192063799864156,1.22026490497793
118587,10,"VL",0.0805406879560267,0.274744653583798
844320,10,"VL",0.0902240706846557,0.217501035572156
62033,10,"VL",0.0265717290558494,1.62849833318071
28265,10,"VL",0.0489817570577764,0.742416016208408
330725,10,"VL",0.0685425946042787,0.421432377853188
668775,10,"VL",0.0901072556204883,0.221561656998446
403202,10,"VL",0.0651273217748218,0.236941237273951
73346,10,"VL",0.0427944130716932,0.636848687404781
748562,20,"VL",0.294364768947005,0.0877537194233912
209710,20,"VL",0.0352797238403909,0.816687228289277
640911,20,"VL",0.0271150329106771,0.938427220500832
307809,20,"VL",0.0675031198850734,0.290251537586859
981282,20,"VL",0.0352850064663937,0.656044830766775
743337,20,"VL",0.0456324013191133,0.576014812691855
637493,20,"VL",0.0274090491428252,1.03804777904632
214390,20,"VL",0.0303637935097599,0.967692998174382
10137,20,"VL",0.0236987490322597,1.03014966229411
716511,20,"VL",0.0196942396223738,1.60985677470727
350099,20,"VL",0.0337328328996308,0.801341751929452
399657,20,"VL",0.052411622273817,0.376254287501556
6680,20,"VL",0.0408288173562682,0.574546306246056
784527,20,"VL",0.0524635014929846,0.669487520317794
650095,20,"VL",0.0453536011730473,0.596108240483558
976480,20,"VL",0.0263962923490233,1.2219660462188
83672,20,"VL",0.0620456847575126,0.535563075134509
174013,20,"VL",0.0224458480976273,2.24351994152008
226190,20,"VL",0.0725560542716744,0.618144161820419
84235,20,"VL",0.0567434693870374,0.41221212712362
258013,20,"VL",0.0434781389131753,0.661500539129962
159022,20,"VL",0.0467256590541978,0.536913735181706
170951,20,"VL",0.0304713153655702,1.09735571207191
793959,20,"VL",0.0299912099073577,0.94329677126693
982148,20,"VL",0.0903610095903337,0.36820462371165
232590,20,"VL",0.0365886269174311,0.607451325973013
352570,20,"VL",0.0203549971781724,1.85221789500858
444376,20,"VL",0.0281208491827827,0.925617282082871
170998,20,"VL",0.0479626690228996,0.537998408962164
145933,20,"VL",0.0345106528802806,1.03004368362455
191345,20,"VL",0.0213545276785166,0.988904962976463
228477,20,"VL",0.0971811848479191,0.469392297853008
215981,20,"VL",0.01371629171726,2.84504244632144
892829,20,"VL",0.0365606010953215,0.624716034596944
349407,20,"VL",0.0843157454741693,0.351774579077265
708972,20,"VL",0.0734960817547288,0.269517935552573
639586,20,"VL",0.0393442856819738,0.570990831472588
633628,20,"VL",0.0389254785580505,0.581620820404591
8419,20,"VL",0.0495723598698559,0.564160961135212
170779,20,"VL",0.0276229266033477,1.04545803640298
875759,20,"VL",0.0480815360091351,0.479762395998111
352756,20,"VL",0.0132297618781922,2.26180618633572
118587,20,"VL",0.0359065074903201,0.66472460317661
844320,20,"VL",0.0373315047209191,0.604320706240064
62033,20,"VL",0.0217177837880453,2.18624421889479
28265,20,"VL",0.0509246997630683,0.698991183969901
330725,20,"VL",0.0843956606513483,0.328360276713356
668775,20,"VL",0.0479480454999256,0.415354574153
403202,20,"VL",0.0452826193119986,0.373535879008863
73346,20,"VL",0.0221095572443258,1.70184749444656
748562,40,"VL",0.129186290271815,0.173261998681386
209710,40,"VL",0.0380607004025447,0.719053906108137
640911,40,"VL",0.0299773352447827,0.854112105938703
307809,40,"VL",0.0572948981988609,0.360269161174582
981282,40,"VL",0.038335523727964,0.603823319683714
743337,40,"VL",0.0482924302903976,0.549904839804056
637493,40,"VL",0.030099168290675,0.972707057134658
214390,40,"VL",0.0350685071857305,0.789547438309634
10137,40,"VL",0.024290262911324,1.02406354461508
716511,40,"VL",0.0281424882103264,0.962189518653596
350099,40,"VL",0.0367075302746258,0.747799507116786
399657,40,"VL",0.0469303028538193,0.437580233879328
6680,40,"VL",0.0434008393164802,0.534124918133814
784527,40,"VL",0.0556101847355802,0.635771587764438
650095,40,"VL",0.0499288229182525,0.521640611792266
976480,40,"VL",0.0274003759275148,1.12276936499129
83672,40,"VL",0.0540837269782935,0.606652607755197
174013,40,"VL",0.0262949365179638,1.69041955944297
226190,40,"VL",0.0646193457325643,0.705203043298196
84235,40,"VL",0.0563346405334605,0.423342062717872
258013,40,"VL",0.0484290751018111,0.567343898499546
159022,40,"VL",0.0463564082544939,0.530879497386083
170951,40,"VL",0.0291321675467345,1.1725589250397
793959,40,"VL",0.0395895947795807,0.65658825947185
982148,40,"VL",0.0845741795442698,0.388504387826159
232590,40,"VL",0.0355676593504592,0.632097303560465
352570,40,"VL",0.0229309796161943,1.58546052244749
444376,40,"VL",0.0343103136864398,0.681985161743771
170998,40,"VL",0.0473589074366302,0.558599312001805
145933,40,"VL",0.0354337710246366,0.977938792964834
191345,40,"VL",0.0219253454277357,0.947797043601391
228477,40,"VL",0.0919568074540137,0.489610273634328
215981,40,"VL",0.0216906087954882,1.34737205971954
892829,40,"VL",0.0380298875977992,0.604020952969389
349407,40,"VL",0.0696190438554222,0.437062233232563
708972,40,"VL",0.062741700288006,0.326775364326439
639586,40,"VL",0.03844212472486,0.58732317857145
633628,40,"VL",0.0394284017432433,0.583606995154385
8419,40,"VL",0.0498132288871612,0.561414590438677
170779,40,"VL",0.0312796335386721,0.910529933824245
875759,40,"VL",0.0485790859512596,0.503510991850413
352756,40,"VL",0.0165990712634937,1.50167433092051
118587,40,"VL",0.0361321916021656,0.659390805691742
844320,40,"VL",0.0412114392625742,0.522151195916517
62033,40,"VL",0.0299146257588683,1.39821688486661
28265,40,"VL",0.0533333614874463,0.664974794258636
330725,40,"VL",0.0748792060678445,0.353809407755351
