"seed","m","method","Range","Smoothness"
748562,-1,"Laplace",0.116708164950427,0.193052484357394
209710,-1,"Laplace",0.0375641320803314,0.745947852095128
640911,-1,"Laplace",0.0302347665039146,0.852787411104484
307809,-1,"Laplace",0.0580586369051174,0.348185382457912
981282,-1,"Laplace",0.0394293052556453,0.578658687369122
743337,-1,"Laplace",0.0479059916841072,0.555558944071773
637493,-1,"Laplace",0.0296320285021927,0.933939405455341
214390,-1,"Laplace",0.0370212885656373,0.728545532174092
10137,-1,"Laplace",0.025257248537399,0.957938132583289
716511,-1,"Laplace",0.0271603158204828,1.00356330766942
350099,-1,"Laplace",0.0376948901108088,0.727437319162288
399657,-1,"Laplace",0.0484796729635875,0.425804349944209
6680,-1,"Laplace",0.0436028066350117,0.535506471059577
784527,-1,"Laplace",0.0581841524917205,0.604498135120432
650095,-1,"Laplace",0.0503088696455412,0.518533371246897
976480,-1,"Laplace",0.0276165725851377,1.12531656726127
83672,-1,"Laplace",0.0570302975809073,0.58073239642444
174013,-1,"Laplace",0.0269318752687213,1.60811050065892
226190,-1,"Laplace",0.0673339092065385,0.673717665730779
84235,-1,"Laplace",0.0581292966568856,0.405443013827598
258013,-1,"Laplace",0.0487058822399176,0.570360973899214
159022,-1,"Laplace",0.046297338667452,0.526037906250746
170951,-1,"Laplace",0.0251316996974745,1.49159811449105
793959,-1,"Laplace",0.042504129225863,0.599281597099188
982148,-1,"Laplace",0.081461334148683,0.404138696620337
232590,-1,"Laplace",0.0354783703237589,0.633833679362262
352570,-1,"Laplace",0.0235192578021875,1.53541715307018
444376,-1,"Laplace",0.0340556354263001,0.705727490738225
170998,-1,"Laplace",0.0477460682327205,0.549920788651858
145933,-1,"Laplace",0.0334295167975179,1.07241604775207
191345,-1,"Laplace",0.0220954303715485,0.93939284718039
228477,-1,"Laplace",0.0905622783321895,0.491371065927079
215981,-1,"Laplace",0.0182950614986987,1.75162263589985
892829,-1,"Laplace",0.0405509149293162,0.542399575252442
349407,-1,"Laplace",0.0790243998975576,0.387601269216657
708972,-1,"Laplace",0.0640002922732679,0.315890130772146
639586,-1,"Laplace",0.039804198567723,0.552447409200139
633628,-1,"Laplace",0.0403652384295637,0.567009512690717
8419,-1,"Laplace",0.0521511660881806,0.540902524638993
170779,-1,"Laplace",0.0320192455452437,0.865898116189724
875759,-1,"Laplace",0.0498783288706973,0.490251663985818
352756,-1,"Laplace",0.0157735775430718,1.64563196297217
118587,-1,"Laplace",0.038191796423857,0.616677617599857
844320,-1,"Laplace",0.0421825171645575,0.508806424952361
62033,-1,"Laplace",0.0278196686826007,1.59145520458514
28265,-1,"Laplace",0.0531291508265308,0.672770586177794
330725,-1,"Laplace",0.0719476272759443,0.379761816304119
668775,-1,"Laplace",0.0416668159567007,0.484290974604722
403202,-1,"Laplace",0.0416056385972511,0.423522876716754
73346,-1,"Laplace",0.0262812893848742,1.30336611948379
587647,-1,"Laplace",0.0556469597254281,0.336915537004348
577480,-1,"Laplace",0.0220673244988055,1.87537975506197
850390,-1,"Laplace",0.0621204226524275,0.512322466524639
199432,-1,"Laplace",0.0222599309107772,1.63425090389103
775509,-1,"Laplace",0.0367152681724911,0.85611008136059
406613,-1,"Laplace",0.0280018629869805,0.94660541945609
356214,-1,"Laplace",0.0298557320727788,0.787184232735513
755813,-1,"Laplace",0.0317866269493581,0.749388248493875
16598,-1,"Laplace",0.0341317210478811,0.947823463099191
553229,-1,"Laplace",0.0664306532856845,0.414784241369067
676192,-1,"Laplace",0.0634255374294982,0.372120501690813
391059,-1,"Laplace",0.0200884857490637,2.07537258442464
998840,-1,"Laplace",0.0556020997869349,0.350591238600944
268157,-1,"Laplace",0.0465155073867696,0.488273186597473
185134,-1,"Laplace",0.0253249464108761,1.17744533672718
956514,-1,"Laplace",0.0515028685707891,0.416888703259229
695501,-1,"Laplace",0.0557523757762763,0.335273560644141
815151,-1,"Laplace",0.0298097410876519,0.872484206847354
714716,-1,"Laplace",0.0487141086790633,0.259802119232393
562213,-1,"Laplace",0.0435369452926008,0.485160401192068
563596,-1,"Laplace",0.0462900790968359,0.422792998204311
993006,-1,"Laplace",0.0156309262362285,2.57551468246564
262438,-1,"Laplace",0.0621685191471289,0.40979297642826
37223,-1,"Laplace",0.0351716629510655,0.550045246235616
995352,-1,"Laplace",0.0356779283163555,0.779254987409228
761664,-1,"Laplace",0.0419744140691438,0.707551827804442
162484,-1,"Laplace",0.0396017553003558,0.741181846179107
746539,-1,"Laplace",0.0443019406409895,0.54937912300645
736777,-1,"Laplace",0.0185133529455414,1.89097568096623
336389,-1,"Laplace",0.0359043713453526,0.824282195278702
70387,-1,"Laplace",0.0276262317677499,1.10513982381264
772144,-1,"Laplace",0.0328995552023561,0.899315347747318
237830,-1,"Laplace",0.0289506166684794,1.03091567190672
572765,-1,"Laplace",0.0461879940531607,0.723053951859354
937743,-1,"Laplace",0.0406511989177615,0.654841719263108
2819,-1,"Laplace",0.0466749602863453,0.476277629022012
521057,-1,"Laplace",0.0704439396391154,0.372337830954552
114137,-1,"Laplace",0.0256721842471531,1.65962945061482
480861,-1,"Laplace",0.175825744342639,0.143853683730748
341303,-1,"Laplace",0.067502005622237,0.452018316965241
724273,-1,"Laplace",0.0662708495622148,0.36065202774009
948383,-1,"Laplace",0.0270204370529377,0.845949411587218
