Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
1,1,1,2500,0.5,0.05,1,974177,0.01873678,0.01873678,0.08658765,0.08559119,2102.694,2102.694,-490.5574,-477.0373,7.050097,0.2450585,0.1018791,0.06201077,2,2,2,2
2,1,1,2500,0.5,0.05,1,961449,0.1407901,0.1407901,1.070457,1.026594,1718.043,1718.043,-3687.735,-3638.077,7.737881,0.1659369,0.2550755,0.1504548,5,5,4,5
3,1,1,2500,0.5,0.05,1,71855,0.05805906,0.05805906,0.3906405,0.3734067,1781.199,1781.199,-2407.654,-2326.572,9.646323,0.2570999,0.3835092,0.2250519,7,7,7,7
4,1,1,2500,0.5,0.05,1,395069,0.04861964,0.04861964,0.4988667,0.4838524,1819.561,1819.561,-2698.239,-2656.26,18.83702,0.3853254,0.6830981,0.3443563,9,8,8,8
1,1,1,2500,1.5,0.05,1,982068,0.001951919,0.01702023,0.09376645,0.08690946,13533.22,9217.177,-589.2659,-418.9134,8.008729,0.1209359,0.1582608,0.08895969,2,2,2,2
2,1,1,2500,1.5,0.05,1,122980,0.05541751,0.5163261,0.9444952,0.8194324,13470.31,8209.579,-3492.461,-3359.116,12.56504,0.1518478,0.2686305,0.1809785,5,4,4,4
3,1,1,2500,1.5,0.05,1,351028,0.01827742,0.08301274,0.3152929,0.3007038,13529.64,9096.052,-2279.8,-1994.334,16.4643,0.2432859,0.3556664,0.2051289,7,6,6,6
4,1,1,2500,1.5,0.05,1,487313,0.007237206,0.04501056,0.5160756,0.4919142,13524.8,9056.723,-2843.23,-2606.16,20.43979,0.3036697,0.4672034,0.2840002,9,8,8,8
1,1,1,2500,0.5,0.05,3,936909,0.01951335,0.01951335,0.03007536,0.08931935,2086.966,2086.966,1919.395,-595.2806,9.189786,0.1172981,0.1636102,0.08253074,2,2,2,2
2,1,1,2500,0.5,0.05,3,351307,0.1460027,0.1460027,0.5278491,0.5855041,1646.686,1646.686,1601.78,-2898.629,12.9369,0.2129066,0.1912305,0.1718073,5,5,4,5
3,1,1,2500,0.5,0.05,3,754154,0.06361767,0.06361767,0.2122013,0.3517008,1812.508,1812.508,1695.899,-2218.262,16.48659,0.378119,0.6292329,0.2535639,7,7,6,7
4,1,1,2500,0.5,0.05,3,502864,0.04416812,0.04416812,0.1255397,0.3770342,1863.515,1863.515,1713.807,-2558.874,18.49551,0.3340898,0.4054549,0.3205006,9,9,8,9
1,1,1,2500,1.5,0.05,3,348190,0.00214488,0.002123459,1.357201,0.073225,13512.65,13507.77,7957.896,-107.0775,8.55459,0.1912706,0.2210546,0.1284039,2,2,2,2
2,1,1,2500,1.5,0.05,3,178116,0.07209263,0.07105379,2.648914,0.4118519,13436.37,13430.17,8313.385,-2534.309,14.29419,0.4338017,0.299773,0.2489009,5,5,4,5
3,1,1,2500,1.5,0.05,3,550511,0.01022584,0.01017225,0.6872249,0.232264,13492.82,13489.93,8772.977,-1402.194,17.00975,0.4813111,0.5759637,0.4131861,6,6,4,6
4,1,1,2500,1.5,0.05,3,317522,0.007186302,0.007234186,1.375763,0.2911096,13544.7,13536.52,8242.383,-2060.116,21.66641,0.5186574,0.4478004,0.5280297,8,8,5,8
1,1,1,2500,0.5,0.05,5,238642,0.01955615,0.01955615,0.02401776,0.08827249,2122.028,2122.028,2030.627,-513.7092,8.117667,0.1026709,0.2088139,0.146203,2,2,2,2
