"","Mod","Domain","Dimen","Sample","C_Smoothness","C_Range","Neighbors","Seed_off","MSE_Laplace","MSE_VL","MSE_VL_z","MSE_LowRank","LS_Laplace","LS_VL","LS_VL_z","LS_LowRank","Time_Laplace","Time_VL","Time_VL_z","Time_LowRank","Iter_Laplace","Iter_VL","Iter_VL_z","Iter_LowRank"
"1",2,10,2,32400,0.5,0.3,10,277867,1.069012,0.3900099,0.4285467,0.8609434,0,0,0,0,-1,4.233631,4.621321,2.175395,-1,6,6,4
"2",3,10,2,32400,0.5,0.3,10,521458,1.017448,0.2303679,0.2323298,0.4988625,0,0,0,0,-1,18.0923,23.03252,17.83587,-1,31,33,36
"3",4,10,2,32400,0.5,0.3,10,930070,0.9364489,0.1830178,0.1756886,0.3771573,0,0,0,0,-1,6.558005,8.345377,3.78477,-1,11,11,7
"4",2,10,2,74529,0.5,0.3,10,657146,0.9754367,0.3024808,0.3694938,0.8017471,0,0,0,0,-1,7.803896,9.02107,4.697067,-1,6,6,4
"5",3,10,2,74529,0.5,0.3,10,860273,1.10004,0.1794345,0.1922889,0.5309379,0,0,0,0,-1,43.82634,55.09719,40.95731,-1,34,35,36
"6",4,10,2,74529,0.5,0.3,10,468328,1.012566,0.1429845,0.1377674,0.397763,0,0,0,0,-1,17.37266,20.59834,9.637305,-1,13,13,8
"7",2,10,2,149769,0.5,0.3,10,240150,0.9779511,0.2392182,0.3261513,0.7915767,0,0,0,0,-1,18.47006,20.40641,12.35892,-1,7,6,5
"8",3,10,2,149769,0.5,0.3,10,636017,0.9186016,0.1476936,0.1553768,0.4496877,0,0,0,0,-1,107.5396,144.8599,85.14018,-1,41,45,39
"9",4,10,2,149769,0.5,0.3,10,884011,0.9956206,0.1116036,0.107515,0.3925905,0,0,0,0,-1,45.01769,47.12219,18.02831,-1,17,15,8
"10",2,10,2,302500,0.5,0.3,10,458643,1.018531,0.1890061,0.3082232,0.8157213,0,0,0,0,-1,36.90309,37.29689,22.74295,-1,7,6,5
"11",3,10,2,302500,0.5,0.3,10,639701,1.073633,0.1117166,0.1413527,0.5108603,0,0,0,0,-1,160.3647,193.2826,143.705,-1,29,31,32
"12",4,10,2,302500,0.5,0.3,10,216396,1.071727,0.08580251,0.0836356,0.3825014,0,0,0,0,-1,103.0288,97.73957,36.15856,-1,19,15,8
"13",2,10,2,32400,0.5,0.3,10,839202,0.9888522,0.3799974,0.4173292,0.8031315,0,0,0,0,-1,4.030073,3.912404,2.048669,-1,7,6,4
"14",3,10,2,32400,0.5,0.3,10,391904,1.111761,0.2323729,0.2350103,0.5225901,0,0,0,0,-1,15.95338,20.75351,17.92466,-1,27,29,32
"15",4,10,2,32400,0.5,0.3,10,22025,0.9912154,0.1818374,0.1737487,0.3868455,0,0,0,0,-1,7.241962,10.17805,4.076709,-1,13,14,8
"16",2,10,2,74529,0.5,0.3,10,132940,0.985497,0.2996424,0.3645532,0.8100399,0,0,0,0,-1,7.8318,10.15413,5.140936,-1,6,6,4
"17",3,10,2,74529,0.5,0.3,10,435518,0.9996332,0.1774256,0.1788145,0.4532422,0,0,0,0,-1,59.40879,70.66236,48.7791,-1,44,44,41
"18",4,10,2,74529,0.5,0.3,10,358205,1.017691,0.1332819,0.128301,0.3958896,0,0,0,0,-1,22.91539,23.67465,9.515712,-1,17,15,8
"19",2,10,2,149769,0.5,0.3,10,532616,0.9614338,0.2461106,0.3283149,0.7679586,0,0,0,0,-1,15.54247,18.45647,10.9131,-1,6,6,5
"20",3,10,2,149769,0.5,0.3,10,136123,0.990691,0.1510724,0.1676115,0.4823217,0,0,0,0,-1,59.25994,72.85051,47.9161,-1,23,24,22
"21",4,10,2,149769,0.5,0.3,10,995407,0.97077,0.1079254,0.104367,0.3883074,0,0,0,0,-1,43.63905,45.80762,17.61477,-1,17,15,8
"22",2,10,2,302500,0.5,0.3,10,936421,0.9808777,0.1935581,0.3055221,0.8005224,0,0,0,0,-1,40.16346,41.68858,18.63311,-1,7,6,4
"23",3,10,2,302500,0.5,0.3,10,284158,1.002524,0.1126996,0.139432,0.5059883,0,0,0,0,-1,163.9959,203.4658,116.003,-1,31,32,25
