Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
1,1,3,2197,0.5,0.1,1,713396,0.153375,0.1534929,0.1588965,0.1586862,-1287.719,-1058.994,-1097.947,-1096.439,4.37736,0.1419609,0.08650923,0.04467297,2,2,2,2
2,1,3,2197,0.5,0.1,1,958237,0.6588476,0.7613237,0.7920745,0.7903278,-2481.935,-2740.075,-2861.521,-2857.602,5.537214,0.1163278,0.147877,0.08259535,5,4,4,4
3,1,3,2197,0.5,0.1,1,814018,0.3971152,0.4595924,0.5105924,0.5121734,-1904.806,-2129.069,-2270.736,-2269.807,10.19265,0.2981691,0.4543386,0.2632878,12,13,13,13
4,1,3,2197,0.5,0.1,1,592341,0.3103146,0.349232,0.3743797,0.3756869,-1714.019,-1884.368,-1996.002,-2004.136,7.314254,0.1975079,0.3304656,0.161731,8,8,8,8
1,1,3,2197,1.5,0.1,1,94234,0.08599073,0.1389115,0.1740084,0.1734546,-340.5105,-910.6034,-1197.549,-1192.888,3.893295,0.07134557,0.09097195,0.04709387,2,2,2,2
2,1,3,2197,1.5,0.1,1,32596,0.3440787,0.4990595,0.6920237,0.6765162,-788.9017,-1942.933,-2725.215,-2705.98,5.444999,0.1657467,0.1546834,0.09234071,5,5,4,4
3,1,3,2197,1.5,0.1,1,636929,0.1767,0.3101773,0.4700976,0.4743736,-453.9326,-1561.387,-2161.323,-2186.347,10.13718,0.432929,0.4795663,0.3049002,13,13,13,13
4,1,3,2197,1.5,0.1,1,196682,0.1278018,0.2381333,0.3608572,0.3670813,-397.6312,-1367.554,-1948.595,-1949.224,6.845183,0.2627118,0.3497775,0.2341383,8,8,8,8
1,1,3,2197,0.5,0.1,3,685953,0.1527494,0.1517548,0.1529075,0.1616867,-1277.64,-1040.968,-1051.295,-1115.957,3.779822,0.08732986,0.1088524,0.04561353,2,2,2,2
2,1,3,2197,0.5,0.1,3,700117,0.6449066,0.7176199,0.7490967,0.8018412,-2441.42,-2675.314,-2701.17,-2878.032,5.702414,0.1563485,0.2015939,0.1275253,5,5,4,4
3,1,3,2197,0.5,0.1,3,308332,0.4220411,0.4610388,0.4907904,0.5278336,-1987.44,-2128.626,-2191.764,-2326.364,10.33432,0.4015501,0.5776615,0.3436959,13,13,14,14
4,1,3,2197,0.5,0.1,3,387333,0.3265442,0.3519877,0.3671132,0.3876903,-1809.143,-1913.998,-1955.809,-2060.863,7.903496,0.2394216,0.4063735,0.2171152,9,9,9,9
1,1,3,2197,1.5,0.1,3,289383,0.08205951,0.1059751,0.1212961,0.1645127,-251.8009,-594.2581,-684.3647,-1186.965,3.990544,0.1324365,0.1463535,0.08416176,2,2,2,2
2,1,3,2197,1.5,0.1,3,296737,0.3857929,0.5387405,0.7230422,0.8325656,-800.041,-1907.908,-2118.535,-2945.549,5.627018,0.3964257,0.3427479,0.1963558,5,6,5,5
3,1,3,2197,1.5,0.1,3,534011,0.1970754,0.3010156,0.3643958,0.4928907,-562.2728,-1442.432,-1606.428,-2310.992,7.589286,0.5878386,0.8477128,0.4136269,8,9,9,9
4,1,3,2197,1.5,0.1,3,286917,0.1325054,0.2114457,0.2512022,0.3846733,-399.9473,-1172.617,-1342.67,-2050.46,7.92164,0.6987462,0.8898094,0.3355896,9,10,10,8
1,1,3,2197,0.5,0.1,5,629725,0.1634149,0.1602982,0.1582687,0.172914,-1419.945,-1104.374,-1085.495,-1191.637,4.004964,0.06507182,0.1097691,0.08203769,2,2,2,2
2,1,3,2197,0.5,0.1,5,195301,0.667181,0.7273267,0.7345447,0.8208383,-2444.775,-2622.935,-2595.579,-2913.223,5.810511,0.2072744,0.2229433,0.1005356,5,5,5,4
3,1,3,2197,0.5,0.1,5,452129,0.3648817,0.3820249,0.3811316,0.4287887,-1878.783,-1945.084,-1938.196,-2112.025,8.568912,0.3146009,0.4668701,0.2803237,10,11,10,11
4,1,3,2197,0.5,0.1,5,639666,0.34282,0.3625634,0.3634567,0.4219791,-1843.778,-1936.733,-1913.312,-2135.648,7.813066,0.3171692,0.4147305,0.2303634,9,9,9,9
1,1,3,2197,1.5,0.1,5,162915,0.08337143,0.0952804,0.09528074,0.1615019,-296.4902,-467.3865,-391.658,-1192.449,3.824941,0.2337098,0.2713068,0.137403,2,2,2,2
2,1,3,2197,1.5,0.1,5,159660,0.3459665,0.464211,0.5304316,0.6545835,-777.8966,-1664.955,-1551.112,-2745.7,5.787348,0.69836,0.6717114,0.2729542,5,6,5,4
3,1,3,2197,1.5,0.1,5,651557,0.2218842,0.2861048,0.341148,0.5217044,-603.6637,-1268.359,-1266.86,-2457.878,7.033445,0.9390967,1.369099,0.558394,7,8,10,8
4,1,3,2197,1.5,0.1,5,863453,0.1405313,0.1943779,0.2054038,0.3933896,-393.4699,-1074.002,-945.1232,-2083.971,6.760488,1.055704,1.151287,0.5482514,7,9,9,8
1,1,3,2197,0.5,0.1,10,262131,0.1577813,0.1519394,0.1492764,0.1669097,-1340.123,-1041.536,-1015.741,-1168.074,3.840186,0.08314753,0.118751,0.07806921,2,2,2,2
2,1,3,2197,0.5,0.1,10,790503,0.6708661,0.7233305,0.7073497,0.8449437,-2437.56,-2617.646,-2482.317,-2963.467,5.50902,0.2369971,0.2927277,0.1957593,5,5,5,5
3,1,3,2197,0.5,0.1,10,666778,0.3442467,0.3616681,0.3510089,0.4152322,-1787.076,-1861.341,-1801.721,-2065.577,10.01727,0.5433409,0.8356574,0.4987476,13,13,13,13
4,1,3,2197,0.5,0.1,10,726904,0.33143,0.3427848,0.3402104,0.391964,-1799.52,-1873.455,-1825.079,-2081.006,7.68504,0.3253338,0.4138923,0.3871136,8,8,8,8
1,1,3,2197,1.5,0.1,10,983234,0.08732052,0.0982205,0.08843242,0.1571993,-304.898,-424.8235,-198.7793,-1169.719,4.350067,0.6313438,0.7945731,0.3971865,2,2,2,2
2,1,3,2197,1.5,0.1,10,785192,0.4107728,0.4968532,0.5444812,0.7285486,-806.7003,-1562.532,-1264.241,-2789.185,5.975528,1.985213,2.330024,0.9772298,5,6,6,5
3,1,3,2197,1.5,0.1,10,640393,0.1576923,0.1906532,0.2072217,0.3664236,-431.533,-891.9659,-744.6141,-2012.992,9.381264,3.823197,4.603921,2.307808,12,12,12,12
4,1,3,2197,1.5,0.1,10,686782,0.1478664,0.178311,0.1710344,0.3819625,-480.3992,-965.9042,-710.4754,-2071.434,7.238709,2.86589,3.788646,1.551483,8,9,10,8
1,1,3,2197,0.5,0.1,20,672185,0.1547992,0.1495203,0.1459962,0.162502,-1310.912,-1022.368,-998.9731,-1125.089,3.871997,0.1716597,0.1873817,0.20401,2,2,2,2
2,1,3,2197,0.5,0.1,20,343337,0.6960579,0.7162058,0.7012732,0.8007738,-2480.464,-2609.146,-2490.18,-2897.508,5.682816,0.3992391,0.707603,0.3836277,5,5,6,4
3,1,3,2197,0.5,0.1,20,98101,0.4045564,0.43275,0.4174107,0.5108162,-1985.399,-2061.721,-1998.408,-2357.932,9.258016,0.8162274,1.027236,0.9933443,10,10,10,11
4,1,3,2197,0.5,0.1,20,496837,0.3246933,0.3366229,0.3291547,0.4097258,-1778.414,-1832.342,-1786.02,-2106.137,10.12117,0.6917939,0.7911925,0.8730674,9,9,9,9
1,1,3,2197,1.5,0.1,20,510124,0.08271951,0.08791328,0.08154161,0.1569715,-254.8139,-310.1901,-119.686,-1191.836,4.66897,1.932664,2.383393,1.282323,2,2,2,2
2,1,3,2197,1.5,0.1,20,681840,0.3807646,0.4496106,0.4156105,0.6715537,-764.9404,-1412.216,-932.6413,-2740.104,5.506639,5.746607,8.339268,3.340461,5,6,7,5
3,1,3,2197,1.5,0.1,20,652217,0.1905082,0.2252337,0.2144378,0.42276,-484.2711,-991.2164,-607.0528,-2221.752,6.750731,7.898622,10.80605,5.241723,7,8,9,8
4,1,3,2197,1.5,0.1,20,198605,0.1367542,0.1659523,0.1560711,0.3741682,-429.7418,-846.1442,-538.3101,-2074.094,7.770621,8.629167,10.99816,5.106433,8,9,9,8
1,1,3,2197,0.5,0.1,40,496114,0.151913,0.1488473,0.1455331,0.1609601,-1275.051,-1019.991,-997.1699,-1125.968,3.766121,0.4081624,0.4261491,0.4517169,2,2,2,2
2,1,3,2197,0.5,0.1,40,797733,0.6600376,0.6854699,0.6617126,0.7539033,-2446.621,-2569.567,-2449.604,-2812.202,6.681911,1.100245,1.132879,0.9991543,5,5,5,4
3,1,3,2197,0.5,0.1,40,5705,0.4047088,0.4182845,0.408499,0.4852726,-1939.559,-2022.278,-1943.462,-2267.878,10.60853,2.492732,2.600665,2.875851,12,12,11,13
4,1,3,2197,0.5,0.1,40,856649,0.3212612,0.3348841,0.3229939,0.3891951,-1768.607,-1843.262,-1771.891,-2061.147,8.507187,2.050328,2.216106,2.220252,9,9,9,9
1,1,3,2197,1.5,0.1,40,358573,0.07915253,0.08494762,0.07537902,0.1453094,-188.711,-293.3979,-29.81544,-1145.095,4.602297,5.571273,7.556001,4.61451,2,2,2,2
2,1,3,2197,1.5,0.1,40,742963,0.3639641,0.4098482,0.3694408,0.5402493,-778.6334,-1416.021,-822.7657,-2490.648,6.724781,17.16143,21.9029,10.57895,5,6,6,5
3,1,3,2197,1.5,0.1,40,461342,0.17506,0.2102303,0.1796598,0.3213922,-497.4412,-930.9897,-529.0512,-1899.44,6.05182,23.40572,28.48317,15.40245,7,8,8,7
4,1,3,2197,1.5,0.1,40,992276,0.127421,0.1529266,0.1311982,0.2957216,-386.6097,-789.8427,-404.6627,-1726.412,6.883533,25.66025,28.59903,17.68024,8,9,8,8
1,1,3,2197,0.5,0.1,1,561549,0.1547048,0.157159,0.163362,0.163204,-1310.686,-1080.561,-1127.379,-1125.978,3.919362,0.05933309,0.1065333,0.04080892,2,2,2,2
2,1,3,2197,0.5,0.1,1,881961,0.6470603,0.7358923,0.7892293,0.7867615,-2424.422,-2685.967,-2857.645,-2854.097,5.988011,0.1077306,0.3288291,0.09277868,5,4,4,4
3,1,3,2197,0.5,0.1,1,450366,0.4116801,0.4747516,0.5313326,0.5321989,-2000.34,-2194.452,-2364.125,-2362.769,10.87275,0.3610969,0.7555254,0.296505,13,14,14,14
4,1,3,2197,0.5,0.1,1,214408,0.3177113,0.3594488,0.3679644,0.3702573,-1765.774,-1944.012,-2000.247,-2019.338,7.763901,0.2345109,0.3204868,0.1758065,8,8,8,8
1,1,3,2197,1.5,0.1,1,809566,0.08936266,0.1290778,0.158874,0.1591341,-355.6841,-806.8975,-1097.799,-1113.973,4.258072,0.0665915,0.09310102,0.0542655,2,2,2,2
2,1,3,2197,1.5,0.1,1,280969,0.3742672,0.5667927,0.8505392,0.7800669,-856.6087,-2039.222,-2941.172,-2852.155,5.66599,0.172725,0.1678474,0.09464955,5,5,4,4
3,1,3,2197,1.5,0.1,1,800893,0.2535896,0.427523,0.6439114,0.6218168,-645.2818,-1771.149,-2634.758,-2617.769,6.80925,0.2200713,0.254252,0.1800859,7,7,6,7
4,1,3,2197,1.5,0.1,1,321279,0.1414042,0.2605358,0.3768668,0.3844563,-436.8218,-1514.906,-2024.627,-2031.871,7.330192,0.2618675,0.3514111,0.2186222,8,8,8,8
1,1,3,2197,0.5,0.1,3,644796,0.1519329,0.1507798,0.1548209,0.1626987,-1266.014,-1032.921,-1062.832,-1123.71,4.233733,0.07610488,0.117974,0.05585742,2,2,2,2
2,1,3,2197,0.5,0.1,3,892579,0.6565514,0.7739145,0.8385196,0.9014073,-2410.383,-2656.573,-2732.525,-3010.765,6.728531,0.1583765,0.1799788,0.1027894,5,5,4,4
3,1,3,2197,0.5,0.1,3,954926,0.3498083,0.3684262,0.3776923,0.4122851,-1800.186,-1910.195,-1938.861,-2073.578,11.008,0.4407537,0.6544194,0.3522289,13,14,14,14
4,1,3,2197,0.5,0.1,3,432626,0.2977406,0.3329489,0.3405559,0.3781572,-1693.894,-1831.738,-1865.492,-2017.776,7.835641,0.2665179,0.3394547,0.1977963,8,9,8,8
1,1,3,2197,1.5,0.1,3,834089,0.07905247,0.100956,0.1188436,0.1551576,-216.0884,-544.2654,-692.8323,-1100.172,4.115358,0.1438231,0.1506586,0.09107113,2,2,2,2
2,1,3,2197,1.5,0.1,3,779765,0.348678,0.5018736,0.6850918,0.7768105,-776.2304,-1809.345,-2039.145,-2833.663,5.840881,0.3215649,0.3576562,0.1985056,5,5,5,5
3,1,3,2197,1.5,0.1,3,21242,0.1814229,0.2567773,0.3289409,0.4217917,-540.398,-1351.113,-1551.307,-2174.031,7.220563,0.5094073,0.5739977,0.3028078,7,8,8,7
4,1,3,2197,1.5,0.1,3,907889,0.1436655,0.2255214,0.2761175,0.4460057,-420.4569,-1259.675,-1440.726,-2326.988,7.927254,0.5810602,0.634773,0.3675771,9,9,9,9
1,1,3,2197,0.5,0.1,5,940869,0.1490538,0.1439304,0.1428525,0.1596,-1231.943,-990.1506,-975.6997,-1105.083,4.064693,0.06983304,0.110981,0.05701733,2,2,2,2
2,1,3,2197,0.5,0.1,5,571179,0.706129,0.7637056,0.7646687,0.8489756,-2463.159,-2656.994,-2608.853,-2942.259,6.163002,0.1640344,0.2455604,0.1050136,5,5,5,4
3,1,3,2197,0.5,0.1,5,389184,0.3970121,0.4193727,0.4225089,0.49247,-1927.238,-2039.648,-1996.152,-2249.895,7.145462,0.2336037,0.323869,0.1988547,8,8,8,8
4,1,3,2197,0.5,0.1,5,842562,0.3174012,0.3357676,0.3324187,0.3949788,-1773.267,-1854.371,-1831.861,-2061.377,7.548912,0.2647727,0.3592994,0.1989138,8,9,9,8
1,1,3,2197,1.5,0.1,5,885312,0.08713386,0.09797885,0.09905176,0.1591193,-335.5437,-472.5732,-428.3818,-1124.995,3.817062,0.2366278,0.2885847,0.1455081,2,2,2,2
2,1,3,2197,1.5,0.1,5,873356,0.3435942,0.4508447,0.5496464,0.7631394,-807.2069,-1680.804,-1611.668,-2875.625,5.635001,0.721514,0.7667506,0.3673024,5,6,6,5
3,1,3,2197,1.5,0.1,5,871962,0.1879566,0.255098,0.2798512,0.4461591,-525.2494,-1198.793,-1098.113,-2205.998,8.197018,1.285102,1.582324,0.9806786,10,11,12,14
4,1,3,2197,1.5,0.1,5,81227,0.1358294,0.1797132,0.1838227,0.4081376,-487.1714,-1062.683,-949.7994,-2175.776,7.676381,1.184504,1.286282,0.6005938,9,10,10,9
1,1,3,2197,0.5,0.1,10,510870,0.1558865,0.1502381,0.1491999,0.1672265,-1322.419,-1027.736,-1022.275,-1168.296,3.949879,0.08637786,0.2455761,0.08021426,2,2,2,2
2,1,3,2197,0.5,0.1,10,599913,0.6570797,0.7115095,0.7001434,0.8219844,-2456.992,-2599.773,-2517.376,-2972.741,5.496601,0.214787,0.2963815,0.1537676,5,5,5,4
3,1,3,2197,0.5,0.1,10,371630,0.3722651,0.3919079,0.3815441,0.4653797,-1848.296,-1958.203,-1867.353,-2229.621,8.73087,0.3572679,0.4591596,0.3328362,9,9,9,9
4,1,3,2197,0.5,0.1,10,64932,0.3143411,0.3333964,0.3187336,0.3839772,-1767.905,-1842.931,-1776.997,-2029.095,7.274077,0.356971,0.4056988,0.303493,8,9,8,8
1,1,3,2197,1.5,0.1,10,787312,0.08656123,0.09037365,0.08590422,0.1661933,-344.7903,-366.2136,-198.8221,-1200.71,3.900481,0.6383688,0.7585475,0.386868,2,2,2,2
2,1,3,2197,1.5,0.1,10,107707,0.3718096,0.4607261,0.4846415,0.7212573,-821.9248,-1526.687,-1200.954,-2961.914,5.574293,1.896622,2.590259,0.9404662,5,6,7,5
3,1,3,2197,1.5,0.1,10,485789,0.1919688,0.2248387,0.2309636,0.440449,-544.8118,-1028.94,-800.9515,-2226.757,6.792931,2.545272,3.702099,1.377362,7,8,9,7
4,1,3,2197,1.5,0.1,10,630561,0.1368309,0.1659176,0.1608995,0.3690723,-443.2196,-923.3416,-691.3282,-2080.756,7.108537,3.315195,3.929226,1.602588,8,10,10,8
1,1,3,2197,0.5,0.1,20,16063,0.1557897,0.1508814,0.1485593,0.1658681,-1322.705,-1032.774,-1015.048,-1158.609,3.79668,0.1760051,0.2148323,0.1803954,2,2,2,2
2,1,3,2197,0.5,0.1,20,549879,0.6637609,0.6705685,0.6660407,0.7689739,-2443.602,-2528.795,-2456.56,-2819.209,5.426175,0.3927622,0.4567516,0.3421247,5,5,5,4
3,1,3,2197,0.5,0.1,20,523203,0.393645,0.4122079,0.403462,0.452747,-1945.148,-2027.864,-1957.543,-2208.191,9.191324,0.8394144,1.108138,0.9138222,11,10,11,11
4,1,3,2197,0.5,0.1,20,915052,0.3204563,0.3338164,0.3216677,0.3884641,-1743.119,-1815.91,-1747.909,-2036.107,7.914568,0.6135314,0.7274392,0.6784017,9,8,8,8
1,1,3,2197,1.5,0.1,20,592404,0.08389017,0.08840171,0.08385101,0.1489357,-279.8039,-330.9475,-141.8393,-1054.556,3.908621,1.910189,2.394255,1.295079,2,2,2,2
2,1,3,2197,1.5,0.1,20,656793,0.3946668,0.4275598,0.4203627,0.7331433,-719.0437,-1351.134,-948.9837,-2830.183,5.504134,5.692744,8.546803,3.183794,5,6,7,5
3,1,3,2197,1.5,0.1,20,245168,0.1570654,0.1894548,0.1900582,0.3843555,-337.349,-774.0005,-470.1957,-2044.464,11.22323,12.28558,15.92576,10.26506,14,13,13,16
