Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
1,10,1,250,0.5,0.05,10,696899,0.178804,0.178804,0.178804,0.1937655,0,0,0,0,0.09035945,0.2707131,0.04631996,0.02606249,2,2,2,2
1,10,1,500,0.5,0.05,10,156851,0.1518969,0.1518969,0.1518969,0.1771864,0,0,0,0,0.1986895,0.0419724,0.04370189,0.02975488,2,2,2,2
1,10,1,1000,0.5,0.05,10,259465,0.1199087,0.1199087,0.1199091,0.1626968,0,0,0,0,0.9359782,0.05778599,0.07210279,0.04415679,2,2,2,2
1,10,1,2000,0.5,0.05,10,815084,0.1062379,0.1062379,0.1062399,0.181274,0,0,0,0,3.656679,0.1029425,0.1378534,0.09759235,2,2,2,2
1,10,1,4000,0.5,0.05,10,650886,0.07243784,0.07243784,0.07251719,0.1752628,0,0,0,0,11.27058,0.1973634,0.2492566,0.1834667,2,2,2,2
1,10,1,8000,0.5,0.05,10,613820,0.05318488,0.05318488,0.05355787,0.1732948,0,0,0,0,43.19364,0.291611,0.4179239,0.2883053,2,2,2,2
1,10,1,16000,0.5,0.05,10,904681,0.03625995,0.03625995,0.03739223,0.1694575,0,0,0,0,182.6475,0.6626899,0.8420484,0.6745801,2,2,2,2
1,10,1,250,0.5,0.05,10,929913,0.1559991,0.1559991,0.1559991,0.1663685,0,0,0,0,0.08765578,0.0348165,0.03593659,0.02289271,2,2,2,2
1,10,1,500,0.5,0.05,10,647485,0.1632202,0.1632202,0.1632201,0.1934291,0,0,0,0,0.2335594,0.04054856,0.04797482,0.03310633,2,2,2,2
1,10,1,1000,0.5,0.05,10,595087,0.1188346,0.1188346,0.1188336,0.1703632,0,0,0,0,0.7713001,0.06015897,0.07783079,0.05384946,2,2,2,2
1,10,1,2000,0.5,0.05,10,496101,0.09626335,0.09626335,0.09625015,0.1644183,0,0,0,0,2.909404,0.1004212,0.1578007,0.100975,2,2,2,2
1,10,1,4000,0.5,0.05,10,342841,0.06957519,0.06957519,0.06960791,0.1694049,0,0,0,0,10.25644,0.1502295,0.1994703,0.148138,2,2,2,2
1,10,1,8000,0.5,0.05,10,61641,0.0525457,0.0525457,0.05286413,0.1751916,0,0,0,0,44.42995,0.3488622,0.489186,0.3820715,2,2,2,2
1,10,1,16000,0.5,0.05,10,181616,0.03694097,0.03694097,0.0380077,0.169912,0,0,0,0,197.9092,0.6382475,0.8111131,0.6040826,2,2,2,2
1,10,1,250,0.5,0.05,10,544070,0.1564896,0.1564896,0.1564896,0.1643886,0,0,0,0,0.09459043,0.04470348,0.03808594,0.02572703,2,2,2,2
1,10,1,500,0.5,0.05,10,944396,0.122731,0.122731,0.1227312,0.1535926,0,0,0,0,0.2308607,0.03868985,0.05273652,0.0334394,2,2,2,2
1,10,1,1000,0.5,0.05,10,384754,0.1141736,0.1141736,0.1141732,0.1594533,0,0,0,0,0.7458696,0.05201602,0.07228875,0.05015731,2,2,2,2
1,10,1,2000,0.5,0.05,10,110048,0.09174874,0.09174874,0.09176358,0.1638025,0,0,0,0,2.608349,0.09647298,0.1270225,0.09299088,2,2,2,2
1,10,1,4000,0.5,0.05,10,275542,0.06938819,0.06938819,0.06945096,0.1737624,0,0,0,0,10.63443,0.1627681,0.3036785,0.1527297,2,2,2,2
1,10,1,8000,0.5,0.05,10,86192,0.05166479,0.05166479,0.05198134,0.1646324,0,0,0,0,39.86856,0.3075495,0.4515405,0.3119783,2,2,2,2
1,10,1,16000,0.5,0.05,10,470976,0.0374927,0.0374927,0.03863472,0.1731252,0,0,0,0,200.4786,0.6793535,0.9788783,0.698612,2,2,2,2
1,10,1,250,0.5,0.05,10,331010,0.1694741,0.1694741,0.1694741,0.1745725,0,0,0,0,0.08986974,0.03341126,0.03791738,0.02303338,2,2,2,2
1,10,1,500,0.5,0.05,10,116911,0.1581985,0.1581985,0.1581986,0.1834494,0,0,0,0,0.207716,0.03514361,0.04406261,0.03185987,2,2,2,2
1,10,1,1000,0.5,0.05,10,336151,0.1219083,0.1219083,0.1219087,0.1674706,0,0,0,0,0.6897476,0.07525897,0.07977104,0.0522387,2,2,2,2
1,10,1,2000,0.5,0.05,10,515274,0.09271972,0.09271972,0.09273095,0.1687219,0,0,0,0,2.89269,0.1002452,0.1217966,0.08625293,2,2,2,2
1,10,1,4000,0.5,0.05,10,870351,0.07266562,0.07266562,0.07269979,0.1797667,0,0,0,0,10.67918,0.1684728,0.2190459,0.1655831,2,2,2,2
1,10,1,8000,0.5,0.05,10,222568,0.05206235,0.05206235,0.05245371,0.1711874,0,0,0,0,40.81294,0.3127692,0.4368758,0.3670924,2,2,2,2
1,10,1,16000,0.5,0.05,10,709511,0.03861557,0.03861557,0.03994421,0.1782846,0,0,0,0,200.4263,0.6647677,0.8688169,0.6572862,2,2,2,2
1,10,1,250,0.5,0.05,10,612830,0.1714386,0.1714386,0.1714386,0.1813884,0,0,0,0,0.0905087,0.03470755,0.0358789,0.02554679,2,2,2,2
1,10,1,500,0.5,0.05,10,352504,0.1666433,0.1666433,0.1666435,0.1894004,0,0,0,0,0.2560639,0.03977847,0.05210233,0.03434658,2,2,2,2
1,10,1,1000,0.5,0.05,10,656427,0.1255157,0.1255157,0.1255147,0.1753805,0,0,0,0,0.7896285,0.05604959,0.07346749,0.05524611,2,2,2,2
1,10,1,2000,0.5,0.05,10,478657,0.09240338,0.09240338,0.09240791,0.1699355,0,0,0,0,2.74296,0.09082818,0.1305721,0.08342767,2,2,2,2
1,10,1,4000,0.5,0.05,10,85607,0.07424372,0.07424372,0.07428654,0.1757808,0,0,0,0,10.63634,0.1998639,0.2407758,0.1617026,2,2,2,2
1,10,1,8000,0.5,0.05,10,427409,0.05162802,0.05162802,0.05193052,0.1735961,0,0,0,0,42.44393,0.4034398,0.4382303,0.3661468,2,2,2,2
1,10,1,16000,0.5,0.05,10,591163,0.03744969,0.03744969,0.03856869,0.1728399,0,0,0,0,190.813,0.7208889,0.7999821,0.6115263,2,2,2,2
1,10,1,250,0.5,0.05,10,805497,0.1712005,0.1712005,0.1712005,0.1807158,0,0,0,0,0.08707881,0.02765775,0.03738093,0.02629066,2,2,2,2
1,10,1,500,0.5,0.05,10,157177,0.159592,0.159592,0.1595919,0.1886358,0,0,0,0,0.2784934,0.035321,0.05016136,0.03543949,2,2,2,2
1,10,1,1000,0.5,0.05,10,320677,0.1148734,0.1148734,0.1148719,0.1641999,0,0,0,0,0.6002409,0.05659556,0.06715178,0.04502749,2,2,2,2
1,10,1,2000,0.5,0.05,10,784392,0.09472188,0.09472188,0.09471833,0.1678157,0,0,0,0,3.028559,0.0800724,0.1305244,0.08083415,2,2,2,2
1,10,1,4000,0.5,0.05,10,5102,0.0697567,0.0697567,0.06981658,0.1699686,0,0,0,0,10.05824,0.1802621,0.2241697,0.165669,2,2,2,2
1,10,1,8000,0.5,0.05,10,132023,0.05258086,0.05258086,0.05297272,0.170123,0,0,0,0,40.99931,0.3021543,0.3840406,0.3002088,2,2,2,2
1,10,1,16000,0.5,0.05,10,616392,0.03743672,0.03743672,0.03868682,0.1719796,0,0,0,0,187.0184,0.6510661,0.8642642,0.7048123,2,2,2,2
1,10,1,250,0.5,0.05,10,234527,0.1658134,0.1658134,0.1658134,0.1710711,0,0,0,0,0.06207967,0.03065968,0.02805877,0.0186739,2,2,2,2
1,10,1,500,0.5,0.05,10,661290,0.1307943,0.1307943,0.1307945,0.149128,0,0,0,0,0.2368646,0.04449391,0.04831576,0.03186584,2,2,2,2
1,10,1,1000,0.5,0.05,10,416201,0.1119596,0.1119596,0.1119611,0.1585699,0,0,0,0,1.122026,0.06442022,0.0773859,0.05537176,2,2,2,2
1,10,1,2000,0.5,0.05,10,48463,0.1011935,0.1011935,0.1012068,0.183535,0,0,0,0,3.295114,0.1054401,0.1208258,0.08818913,2,2,2,2
1,10,1,4000,0.5,0.05,10,254358,0.07135685,0.07135685,0.0713803,0.1732401,0,0,0,0,10.51997,0.2015328,0.2489269,0.165318,2,2,2,2
1,10,1,8000,0.5,0.05,10,431485,0.0503952,0.0503952,0.05067357,0.1676712,0,0,0,0,42.67727,0.2972054,0.4151189,0.3059044,2,2,2,2
1,10,1,16000,0.5,0.05,10,840484,0.03782902,0.03782902,0.03887469,0.1738018,0,0,0,0,179.2878,0.6865261,0.8067074,0.6413963,2,2,2,2
1,10,1,250,0.5,0.05,10,781952,0.1641639,0.1641639,0.1641639,0.1702503,0,0,0,0,0.1608424,0.04114842,0.03368759,0.02667618,2,2,2,2
1,10,1,500,0.5,0.05,10,376564,0.1578656,0.1578656,0.1578658,0.1838087,0,0,0,0,0.1647251,0.03510189,0.04918742,0.03731489,2,2,2,2
1,10,1,1000,0.5,0.05,10,977344,0.125332,0.125332,0.1253328,0.1734007,0,0,0,0,0.6897023,0.04626226,0.06722784,0.04573035,2,2,2,2
1,10,1,2000,0.5,0.05,10,119804,0.09021624,0.09021624,0.09021542,0.1689878,0,0,0,0,2.726586,0.09353518,0.1198578,0.08695626,2,2,2,2
1,10,1,4000,0.5,0.05,10,851866,0.07065499,0.07065499,0.07070688,0.168214,0,0,0,0,10.8788,0.1887131,0.2358522,0.1568456,2,2,2,2
1,10,1,8000,0.5,0.05,10,418231,0.05174452,0.05174452,0.05191327,0.1716421,0,0,0,0,42.96868,0.3727789,0.4005547,0.3460414,2,2,2,2
1,10,1,16000,0.5,0.05,10,434785,0.03771024,0.03771024,0.03885348,0.1730798,0,0,0,0,203.2565,0.5564265,0.687957,0.5542228,2,2,2,2
1,10,1,250,0.5,0.05,10,291027,0.1764477,0.1764477,0.1764477,0.1825193,0,0,0,0,0.06810737,0.03030443,0.03708792,0.02441549,2,2,2,2
1,10,1,500,0.5,0.05,10,682798,0.1536631,0.1536631,0.1536632,0.1888319,0,0,0,0,0.1874027,0.03093386,0.03703785,0.02898788,2,2,2,2
1,10,1,1000,0.5,0.05,10,369183,0.1182242,0.1182242,0.1182232,0.1668941,0,0,0,0,0.7526231,0.08171582,0.09803939,0.06401849,2,2,2,2
1,10,1,2000,0.5,0.05,10,489072,0.09983256,0.09983256,0.0998447,0.181872,0,0,0,0,2.55778,0.07559252,0.106005,0.07305217,2,2,2,2
1,10,1,4000,0.5,0.05,10,667334,0.06801039,0.06801039,0.06809976,0.1689117,0,0,0,0,9.361007,0.1456795,0.1915472,0.1461949,2,2,2,2
1,10,1,8000,0.5,0.05,10,761368,0.05117233,0.05117233,0.05156374,0.17204,0,0,0,0,39.07336,0.5611374,0.3862865,0.3046486,2,2,2,2
1,10,1,16000,0.5,0.05,10,470759,0.03813972,0.03813972,0.03923344,0.1717526,0,0,0,0,182.7638,0.5755153,1.086181,0.5412595,2,2,2,2
1,10,1,250,0.5,0.05,10,67863,0.1473352,0.1473352,0.1473352,0.1532423,0,0,0,0,0.2434745,0.02469754,0.03529263,0.03070331,2,2,2,2
