"Smooth","Range","Laplace","MC","Exact","Vecchia-5","Vecchia-10","Vecchia-20","LR-5","LR-10","LR-20"
0.05,0.01,-968.036382771852,NA,NA,-969.744435961971,-969.73716173623,-969.736726398274,-969.875972904293,-969.872953815131,-969.863057737866
0.05,0.05,-956.075624410533,NA,NA,-962.171251787459,-960.325869133691,-959.155749307405,-969.373317852269,-969.66358257853,-969.400165013018
0.05,0.09,-947.113593485876,NA,NA,-956.681989420456,-953.523837352062,-951.110203775537,-970.420779532356,-969.149369738053,-965.930264139275
0.05,0.13,-943.095982823268,NA,NA,-951.563598575016,-949.613622081079,-946.248992890474,-970.455517295131,-969.095589281077,-968.491274224016
0.05,0.17,-941.249556946322,NA,NA,-952.336012290722,-947.663168009378,-945.164121255697,-970.74465100096,-964.911756062221,-968.968933245361
0.05,0.21,-940.341269733878,NA,NA,-948.977808843379,-945.743059156753,-943.257062084738,-967.846651919533,-962.659375608337,-957.474531976957
0.05,0.25,-939.87158959087,NA,NA,-949.025034181077,-943.270289868547,-942.80557126802,-964.943798192135,-966.211351920568,-962.823170829382
0.05,0.29,-939.624105988979,NA,NA,-946.736402427578,-943.410593141963,-940.731539544592,-978.075240984584,-962.344907578554,-961.694716963995
0.05,0.33,-939.496999610081,NA,NA,-946.481099889926,-943.175293116536,-941.549585113295,-961.399466729271,-963.076639370978,-965.173902342879
0.05,0.37,-939.438681948702,NA,NA,-948.741261584515,-941.564035578601,-941.229749928721,-969.028991091776,-968.647086143731,-961.026107983204
0.05,0.41,-939.421332538968,NA,NA,-943.463118949502,-940.061915154221,-940.16519520066,-964.050219026142,-959.456327245431,-959.129910553014
0.05,0.45,-939.429152126605,NA,NA,-943.803401670127,-940.561991005299,-938.154921194197,-962.621618141523,-960.947346445202,-962.224660448385
0.05,0.49,-939.4527759869,NA,NA,-945.677417602512,-940.712613449506,-941.054374000352,-967.097559031953,-964.052483999528,-961.822609517675
0.05,0.53,-939.4864530515,NA,NA,-943.31229259891,-939.633949035763,-939.700038501386,-964.712968705511,-964.850239537364,-958.943909904325
0.05,0.57,-939.526546267439,NA,NA,-942.105525280175,-940.742655116351,-940.628951206249,-967.665795012906,-965.641554274663,-959.435897313243
0.05,0.61,-939.570699175516,NA,NA,-943.439269872539,-940.137232494139,-941.255805276828,-964.868212561981,-966.85014748774,-956.505138894899
0.05,0.65,-939.617354610171,NA,NA,-942.475322700301,-938.910263256748,-938.557349800945,-961.343570899332,-962.399721554233,-956.01168537006
0.05,0.69,-939.665467311898,NA,NA,-943.211058863375,-939.271879681701,-939.264102512618,-963.842971102671,-958.847192657249,-958.218311816317
0.05,0.73,-939.71432724292,NA,NA,-940.686542865794,-939.884443276764,-939.445690897665,-962.280264007309,-963.368889523878,-959.555911999311
0.1,0.01,-969.379599819249,NA,NA,-969.594977559384,-969.581714076081,-969.58059615155,-969.847142819698,-969.873937961873,-969.854344084978
0.1,0.05,-950.751653913741,NA,NA,-954.916830740434,-952.924341153653,-951.69049565635,-969.286024622146,-968.777585015298,-968.562723137086
0.1,0.09,-940.703751625259,NA,NA,-947.227797108007,-944.545767861041,-941.849051073921,-967.764966102582,-967.907914452551,-968.946524099297
0.1,0.13,-937.149239755054,NA,NA,-942.235522100065,-940.065115562488,-937.857083019598,-965.67968595435,-963.177704887911,-960.273250459735
0.1,0.17,-935.743718088327,NA,NA,-940.266497955463,-938.603417138172,-936.121234284447,-962.963383582918,-961.261599274173,-952.753727535272
0.1,0.21,-935.13826319012,NA,NA,-941.093757922398,-935.021454067681,-936.451655139557,-964.009836596773,-957.051728531105,-952.375018109681
0.1,0.25,-934.877734184596,NA,NA,-937.573689652995,-936.571970897929,-935.316463708648,-970.287636643318,-959.170041649624,-957.544080599777
0.1,0.29,-934.784456170748,NA,NA,-942.601160900403,-935.012854506728,-934.947010025705,-966.441983753232,-959.383257091194,-962.208287461651
0.1,0.33,-934.779820062317,NA,NA,-936.985002084655,-936.969738133077,-934.437391897794,-969.701346707371,-967.472340119006,-953.76691921192
0.1,0.37,-934.825376955934,NA,NA,-938.651672775448,-936.194110683134,-934.99870516605,-963.429249073272,-958.452358660946,-954.095121343983
0.1,0.41,-934.900753348461,NA,NA,-932.674289828691,-936.669392255798,-934.220627038578,-966.518768124768,-956.559435801617,-955.434003336529
0.1,0.45,-934.994435476032,NA,NA,-937.965798040485,-935.721212252738,-934.39906527887,-965.777901319203,-960.991357938915,-953.663114537331
0.1,0.49,-935.099567545415,NA,NA,-937.523891497455,-937.095882443153,-934.357290529855,-967.172100347261,-953.388608715002,-948.290623661649
0.1,0.53,-935.211889551158,NA,NA,-938.55462738457,-934.875018353278,-934.38299447326,-963.682527581924,-959.390796231161,-962.397862692269
0.1,0.57,-935.328660576626,NA,NA,-938.191843774175,-934.469868014434,-934.930972876306,-964.521394165776,-957.353092309371,-962.145450320183
0.1,0.61,-935.448066307641,NA,NA,-934.027163695215,-936.3174842769,-933.635055053732,-968.577975154717,-958.472786159811,-961.58428057933
0.1,0.65,-935.568877974946,NA,NA,-937.738020295349,-934.962261902321,-934.757169182639,-960.423508098856,-960.742891105315,-964.279345035996
0.1,0.69,-935.69024822807,NA,NA,-935.73385818731,-933.937016330024,-934.956287552586,-965.974668817029,-960.00782593547,-950.390234817148
0.1,0.73,-935.811584745442,NA,NA,-938.16622371613,-932.638557713443,-936.07184205405,-962.907323231265,-961.298839069236,-958.065453996034
0.15,0.01,-969.386754929978,NA,NA,-969.430705402641,-969.408541062924,-969.407186635066,-969.861059042535,-969.875580204805,-969.859624978001
0.15,0.05,-945.646463549239,NA,NA,-951.903253777401,-947.778555636739,-946.295233931713,-968.532198497425,-969.594673552136,-967.67932017835
0.15,0.09,-936.071659692423,NA,NA,-940.405539084762,-938.29590434687,-936.583362878497,-974.538686959377,-965.835843795057,-961.895439914564
0.15,0.13,-933.34841761929,NA,NA,-935.083873155788,-935.13751533757,-934.208086065544,-965.537846087497,-961.876010772225,-958.410811466608
0.15,0.17,-932.527403774519,NA,NA,-937.248706993923,-934.781751641431,-932.912242790477,-957.578857343483,-960.215344500921,-956.487501012444
0.15,0.21,-932.359199956371,NA,NA,-933.527517300278,-932.430131900614,-932.589751627349,-955.231834678595,-962.2354168772,-951.105549277627
0.15,0.25,-932.45953531163,NA,NA,-937.578606324039,-932.711641829371,-933.063426725455,-961.118217763944,-960.385140856046,-951.967794976956
0.15,0.29,-932.684860010875,NA,NA,-933.475113087196,-933.630230190068,-932.182055571505,-965.6610381312,-959.066713589235,-949.606937212995
0.15,0.33,-932.972914329919,NA,NA,-936.274063299083,-934.812041040745,-932.260678136296,-963.444600631379,-961.768245771262,-949.022524854606
0.15,0.37,-933.293491003636,NA,NA,-936.217166517907,-934.845086286061,-932.043551224918,-961.157178925481,-959.273377383024,-956.737248240026
0.15,0.41,-933.630647351195,NA,NA,-935.031696111431,-934.273773908629,-932.103969268539,-959.92006449646,-962.152997708337,-954.158037797641
0.15,0.45,-933.975423810026,NA,NA,-937.441913141058,-933.039883586082,-934.040788524101,-958.196030790158,-966.65042082725,-948.09204566792
0.15,0.49,-934.322548618942,NA,NA,-934.211197690462,-936.511996084666,-933.624971967902,-962.47299054831,-958.427836638439,-957.216201745425
0.15,0.53,-934.668819599521,NA,NA,-933.71686090492,-936.723770304739,-934.043862255501,-958.297271851461,-960.889755513987,-957.130527002832
0.15,0.57,-935.01225425512,NA,NA,-934.097363429569,-934.008086209127,-934.192188199996,-967.081048730797,-955.958277925647,-958.098189315578
0.15,0.61,-935.351617761068,NA,NA,-938.941822057221,-933.410228713561,-935.019442650563,-961.98865108398,-961.778567608138,-954.684756348151
0.15,0.65,-935.686148879555,NA,NA,-936.231080747965,-931.92349245997,-935.362725958673,-962.510371331038,-955.515323452731,-944.994101110546
0.15,0.69,-936.015391183069,NA,NA,-938.739980763626,-934.276468957144,-934.991027729871,-972.228985785276,-963.11078013881,-956.694457876462
0.15,0.73,-936.339093152507,NA,NA,-935.057887300684,-939.24397471934,-936.490443358964,-968.795017843459,-963.494414587,-949.677452602785
0.2,0.01,-969.214404817261,NA,NA,-969.241094996139,-969.219238041282,-969.216549692177,-969.852692933633,-969.853734369227,-969.818318688497
0.2,0.05,-941.685730010287,NA,NA,-946.883596454723,-943.432716608815,-942.265292604402,-969.98062499904,-967.268017648089,-966.27303735199
0.2,0.09,-933.141732440581,NA,NA,-940.63838812502,-936.000596286122,-933.69531235356,-969.165282023801,-958.827419155707,-961.645696955551
0.2,0.13,-931.328588845376,NA,NA,-935.819758574475,-932.278215306473,-932.138160244107,-964.005820237773,-963.520434505398,-948.786857682699
0.2,0.17,-931.182821938093,NA,NA,-932.758122336669,-933.485717368078,-930.963268377605,-967.049940339012,-954.815377824079,-956.273067643002
0.2,0.21,-931.57725109749,NA,NA,-932.925940089608,-933.172073039667,-931.626451553218,-957.643970616793,-949.846725840724,-948.044967090632
0.2,0.25,-932.180544389294,NA,NA,-937.848481094217,-932.962156865673,-932.929825916289,-962.58792327786,-956.958072814454,-950.058846729633
0.2,0.29,-932.870902328806,NA,NA,-935.295249409557,-932.542301849315,-932.540996202201,-963.834147249746,-964.084823952299,-947.055151063998
0.2,0.33,-933.595961698328,NA,NA,-935.644642695348,-933.436907052571,-934.274395597086,-963.004270818893,-963.859125435947,-956.134733355361
