Mod,Domain,Dimen,Sample,C_Smoothness,C_Range,Neighbors,Seed_off,MSE_Laplace,MSE_VL,MSE_VL_z,MSE_LowRank,LS_Laplace,LS_VL,LS_VL_z,LS_LowRank,Time_Laplace,Time_VL,Time_VL_z,Time_LowRank,Iter_Laplace,Iter_VL,Iter_VL_z,Iter_LowRank
2,10,1,250,0.5,0.05,10,131337,0.7861884,0.7861884,0.7867246,0.8461666,-316.655,-316.655,-290.1374,-332.2629,0.09402966,0.141777,0.06727624,0.03605723,4,4,4,4
3,10,1,250,0.5,0.05,10,796024,0.4356473,0.4356473,0.435647,0.4577572,-240.7591,-240.7591,-137.735,-251.0482,0.3183105,0.07113361,0.0723877,0.053123,7,6,6,7
4,10,1,250,0.5,0.05,10,211448,0.3456448,0.3456448,0.3456417,0.3811696,-215.3718,-215.3718,-87.01276,-230.9677,0.3074517,0.06864691,0.1211927,0.05082846,7,7,7,7
2,10,1,500,0.5,0.05,10,611581,0.6808886,0.6808886,0.6768968,0.807277,-514.4496,-514.4496,-460.9612,-645.4968,0.6094913,0.08753872,0.08315516,0.04614401,4,4,5,4
3,10,1,500,0.5,0.05,10,149891,0.3427082,0.3427082,0.3427445,0.4727949,-385.889,-385.889,-198.8112,-506.3631,0.3392694,0.1060233,0.114877,0.07228875,6,6,6,6
4,10,1,500,0.5,0.05,10,295446,0.2905344,0.2905344,0.2905983,0.3854269,-370.5537,-370.5537,-111.2617,-459.7018,0.6620328,0.1178463,0.1217043,0.08559966,9,8,8,8
2,10,1,1000,0.5,0.05,10,615133,0.4586383,0.4586383,0.4663614,0.6596717,-738.776,-738.7759,-636.7087,-1212.451,1.393398,0.1026733,0.1302631,0.07470059,5,4,5,4
3,10,1,1000,0.5,0.05,10,832640,0.3964258,0.3964258,0.4001269,0.5300271,-701.0726,-701.0726,-314.421,-1098.635,1.47207,0.1833496,0.1922936,0.1421199,8,8,8,8
4,10,1,1000,0.5,0.05,10,82714,0.2233845,0.2233845,0.2237531,0.3474994,-550.6147,-550.6147,-35.42204,-876.8607,1.380656,0.1605904,0.2123411,0.3482728,8,7,8,8
2,10,1,2000,0.5,0.05,10,478203,0.4511639,0.4511639,0.5089402,0.8046675,-1006.187,-1006.187,-821.3726,-2589.166,3.575562,0.2161281,0.3243651,0.1582992,5,5,5,5
3,10,1,2000,0.5,0.05,10,568476,0.2309304,0.2309304,0.2381515,0.4571349,-680.655,-680.655,168.0184,-1958.744,4.505039,0.2434318,0.3573825,0.3242855,8,7,8,10
4,10,1,2000,0.5,0.05,10,585006,0.1521294,0.1521294,0.1520242,0.355274,-599.0132,-599.0132,429.1756,-1798.174,5.553723,0.3541639,0.4313116,0.2861259,9,9,10,9
2,10,1,4000,0.5,0.05,10,839507,0.3557461,0.3557461,0.4368644,0.8236314,-766.0376,-766.0376,-409.1128,-5267.09,14.43039,0.3709939,0.4681792,0.3777823,5,5,5,5
3,10,1,4000,0.5,0.05,10,793571,0.163741,0.163741,0.1796933,0.4464193,-370.5489,-370.5489,1315.283,-3959.178,21.11157,0.7030838,0.8541746,0.7743142,9,9,9,10
4,10,1,4000,0.5,0.05,10,430277,0.1149655,0.1149655,0.1180428,0.3775354,-197.2928,-197.2928,1839.501,-3616.533,20.10333,0.5513108,0.8798983,0.6337907,8,8,9,8
2,10,1,8000,0.5,0.05,10,679258,0.2527897,0.2527897,0.4183841,0.9642211,1029.173,1029.173,1705.001,-11171.12,57.01184,0.7478666,0.9339786,0.8619895,5,5,5,5
3,10,1,8000,0.5,0.05,10,966772,0.1301731,0.1301731,0.1615643,0.4796239,1638.827,1638.827,4949.813,-8065.48,150.3709,2.641265,3.443463,2.574508,18,17,18,16
4,10,1,8000,0.5,0.05,10,698306,0.08120706,0.08120706,0.08703569,0.390987,1857.296,1857.296,5874.713,-7507.645,85.73833,1.348811,1.844674,1.517045,9,9,10,9
2,10,1,16000,0.5,0.05,10,337648,0.1800854,0.1800854,0.3678312,0.8065636,7312.5,7312.5,8694.778,-21020.92,258.8806,1.444726,1.84811,1.180305,5,5,5,4
3,10,1,16000,0.5,0.05,10,819619,0.07883549,0.07883549,0.1080881,0.3756297,8234.73,8234.73,14903.21,-14939.46,406.2516,2.460426,2.971503,3.10539,9,8,9,11
4,10,1,16000,0.5,0.05,10,2975,0.05629693,0.05629693,0.06683914,0.3708323,8630.938,8630.938,16454.49,-14599.29,394.374,2.749761,3.60185,2.613939,9,9,10,8
2,10,1,250,0.5,0.05,10,118679,0.5951525,0.5951525,0.5951078,0.615187,-286.7283,-286.7283,-260.0902,-298.8526,0.08109784,0.0671072,0.05961561,0.03694606,4,4,4,4
3,10,1,250,0.5,0.05,10,525555,0.3282901,0.3282901,0.3283301,0.3679613,-214.1202,-214.1202,-115.8303,-230.863,0.09805226,0.06821752,0.06799722,0.04630852,6,6,6,6
4,10,1,250,0.5,0.05,10,242214,0.37926,0.37926,0.3792426,0.4052796,-230.5,-230.5,-103.2788,-239.8107,0.1147587,0.08196425,0.0930984,0.06223583,8,8,8,8
2,10,1,500,0.5,0.05,10,619037,0.7870641,0.7870641,0.7865054,0.9058692,-550.7007,-550.7007,-498.0829,-681.6298,0.2425766,0.05462766,0.07777834,0.04575205,5,4,5,4
3,10,1,500,0.5,0.05,10,957980,0.438729,0.438729,0.4374383,0.5404937,-437.4408,-437.4408,-216.4795,-546.5699,0.5135245,0.1706405,0.1662917,0.1241124,10,10,10,11
4,10,1,500,0.5,0.05,10,784937,0.2776041,0.2776041,0.2775695,0.3759538,-341.8783,-341.8783,-84.24196,-452.1295,0.3217521,0.1122737,0.1227548,0.07573462,8,8,8,7
2,10,1,1000,0.5,0.05,10,638348,0.4849765,0.4849765,0.5015512,0.7030719,-746.0248,-746.0248,-647.9792,-1246.94,0.9163163,0.1394222,0.138602,0.07800031,5,5,5,4
3,10,1,1000,0.5,0.05,10,158013,0.2798618,0.2798618,0.2797809,0.4336477,-586.5068,-586.5068,-174.679,-972.6822,1.403256,0.1197445,0.1824775,0.1371291,7,6,7,7
4,10,1,1000,0.5,0.05,10,133413,0.2253261,0.2253261,0.2251239,0.3787693,-558.935,-558.935,-40.97643,-905.8707,1.20411,0.1580644,0.1972852,0.143718,8,8,8,8
2,10,1,2000,0.5,0.05,10,454815,0.4475413,0.4475413,0.4789785,0.785918,-1033.045,-1033.045,-840.5818,-2584.391,3.792382,0.1822054,0.2395976,0.1710873,5,5,5,5
3,10,1,2000,0.5,0.05,10,173078,0.2108815,0.2108815,0.2121072,0.4322662,-715.6202,-715.6202,103.9298,-1967.501,4.5648,0.4556947,0.4010234,0.2554522,8,8,8,8
4,10,1,2000,0.5,0.05,10,48282,0.178215,0.178215,0.1779163,0.3919999,-703.5971,-703.5971,326.5637,-1851.701,4.976189,0.3086147,0.4698372,0.2713363,8,8,9,8
2,10,1,4000,0.5,0.05,10,293606,0.3299464,0.3299464,0.41275,0.7728181,-801.5853,-801.5853,-452.7971,-5136.052,13.73489,0.4194379,0.5028241,0.4178126,5,5,5,5
3,10,1,4000,0.5,0.05,10,381038,0.155018,0.155018,0.1670543,0.419077,-411.1481,-411.1481,1335.796,-3803.428,20.29045,0.6994798,0.8460395,0.9403517,9,9,9,11
4,10,1,4000,0.5,0.05,10,678576,0.1160376,0.1160376,0.1175375,0.3760416,-233.3578,-233.3578,1798.021,-3702.152,17.85079,0.6424394,0.9048026,0.6507139,8,8,9,8
2,10,1,8000,0.5,0.05,10,380965,0.2600521,0.2600521,0.4145342,0.8756331,1045.446,1045.446,1727.155,-10764.35,56.19239,0.7878647,1.031818,0.7825813,5,5,5,5
3,10,1,8000,0.5,0.05,10,932697,0.1090072,0.1090072,0.1320207,0.414465,1625.142,1625.142,5105.476,-7675.213,83.5024,1.228584,1.689075,2.137457,9,9,9,12
4,10,1,8000,0.5,0.05,10,457848,0.07979442,0.07979442,0.08474043,0.3870823,1818.722,1818.722,5808.689,-7387.272,84.66088,1.339998,1.840856,1.425119,9,9,9,9
2,10,1,16000,0.5,0.05,10,53616,0.1793068,0.1793068,0.352084,0.8137758,7405.237,7405.237,8774.191,-20958.26,303.2744,1.413888,1.773394,1.340414,6,5,5,5
3,10,1,16000,0.5,0.05,10,261939,0.08923027,0.08923027,0.1411133,0.482284,8237.989,8237.989,14426.15,-16283.44,987.4749,7.286802,9.154262,6.504778,25,25,25,21
4,10,1,16000,0.5,0.05,10,325525,0.05817007,0.05817007,0.06762469,0.3860647,8440.995,8440.995,16270.88,-14643.42,621.9914,2.740115,3.647279,2.569276,11,11,10,9
2,10,1,250,0.5,0.05,10,974961,0.7479263,0.7479263,0.7478812,0.8454147,-305.9733,-305.9733,-279.3324,-333.1719,0.08602905,0.05070424,0.0601933,0.04723263,4,4,4,4
3,10,1,250,0.5,0.05,10,572400,0.5407019,0.5407019,0.5407166,0.576997,-261.3329,-261.3329,-162.2535,-276.2136,0.1633363,0.1035485,0.1428723,0.1101253,10,10,10,10
4,10,1,250,0.5,0.05,10,644380,0.3839804,0.3839804,0.3839646,0.40884,-227.1198,-227.1198,-97.53903,-240.1809,0.1137741,0.07558751,0.08940768,0.0696137,7,7,7,7
2,10,1,500,0.5,0.05,10,730999,0.6042734,0.6042734,0.6034202,0.7428076,-505.3949,-505.3949,-453.8706,-632.1432,0.2890427,0.0647006,0.1023293,0.06105256,5,4,5,4
3,10,1,500,0.5,0.05,10,287310,0.3973385,0.3973385,0.3965385,0.4534812,-413.3369,-413.3369,-210.3609,-499.9497,0.4686453,0.1250165,0.1630394,0.1351199,9,9,9,9
4,10,1,500,0.5,0.05,10,957694,0.3503482,0.3503482,0.3504638,0.4683435,-410.548,-410.548,-149.4276,-522.1405,0.4103689,0.1105595,0.1545131,0.1108987,8,8,8,8
2,10,1,1000,0.5,0.05,10,160095,0.4784708,0.4784708,0.4851048,0.6799134,-773.6008,-773.6008,-674.7366,-1213.586,1.08346,0.1101465,0.1566086,0.09115243,5,5,5,4
3,10,1,1000,0.5,0.05,10,195807,0.3410349,0.3410349,0.3402129,0.5407246,-635.3319,-635.3319,-250.8338,-1091.28,1.390585,0.161411,0.2229049,0.1203547,7,7,7,6
4,10,1,1000,0.5,0.05,10,732717,0.2244059,0.2244059,0.224898,0.3411026,-526.2038,-526.2038,-8.672399,-869.1779,1.561237,0.1815765,0.2903557,0.15992,8,8,9,8
2,10,1,2000,0.5,0.05,10,359991,0.4400506,0.4400506,0.477571,0.7746881,-1006.978,-1006.978,-824.586,-2565.741,3.962511,0.1784146,0.2431636,0.1807327,5,5,5,5
3,10,1,2000,0.5,0.05,10,958821,0.2258609,0.2258609,0.2388789,0.5154239,-715.0976,-715.0976,133.9642,-2078.646,4.975166,0.3181353,0.40418,0.2896509,8,8,8,8
4,10,1,2000,0.5,0.05,10,544262,0.1547355,0.1547355,0.1548122,0.3563913,-615.0821,-615.0821,407.9433,-1783.115,4.758005,0.2884383,0.3927991,0.2570789,8,8,8,7
2,10,1,4000,0.5,0.05,10,520675,0.3513083,0.3513083,0.4336735,0.8319789,-780.714,-780.714,-431.8174,-5330.238,14.38873,0.3399138,0.4254723,0.3240187,5,5,5,5
